,duracao
0,1541.121473776273
1,1523.4953293328665
2,1521.732707443278
3,1523.2800913095082
4,1530.6433736016138
5,1516.6657943260795
6,1540.3655251042587
7,1529.607004096196
8,1531.108607839882
9,1523.4879557947793
10,1525.1436064717811
11,1538.6801556030846
12,1535.641873470491
13,1529.809188176167
14,1516.192904738845
15,1546.2980355960492
16,1522.9907396393542
17,1537.8760742726467
18,1523.73661701157
19,1520.1317174447095
20,1528.6068886742426
21,1524.98025747465
22,1525.8922476764883
23,1531.4468870044761
24,1539.1589924981704
25,1523.1367185811628
26,1540.3938475372772
27,1551.798841941055
28,1523.6863879663342
29,1546.0577411187896
30,1540.5731989804453
31,1534.6433259600783
32,1515.619184168428
33,1529.0182414563749
34,1517.29018299041
35,1537.1241157498737
36,1534.6300632281618
37,1546.5458637384925
38,1533.6700518257123
39,1530.350398966893
40,1528.0244386286843
41,1536.4118504713103
42,1524.1736408412069
43,1528.5205427151964
44,1515.2070313357647
45,1514.7807714437265
46,1538.9982925905724
47,1532.349927959576
48,1519.067938811716
49,1524.381784685303
50,1540.551173991569
51,1525.39135087796
52,1520.8435870185401
53,1533.2240944803098
54,1526.1129864709148
55,1515.9979252491
56,1531.662413689329
57,1534.0451337032662
58,1518.101250986119
59,1541.110951345641
60,1526.2604015784827
61,1531.1717121818094
62,1525.601474185185
63,1540.293306955906
64,1530.0996907561
65,1541.9165966396715
66,1535.0268478208336
67,1533.5906137465365
68,1524.1951840797062
69,1524.2069191868293
70,1525.6844259720795
71,1528.0068649615303
72,1526.896560528422
73,1512.287233792267
74,1521.2048211202798
75,1533.3035644233362
76,1524.9991348563203
77,1524.8537442611337
78,1525.6427928967335
79,1523.1988123670255
80,1532.4651520621408
81,1511.6210381617243
82,1549.8471577687878
83,1539.7719294102933
84,1525.8231102806024
85,1521.0573894440472
86,1543.96186999428
87,1539.4283938708024
88,1524.5015771837727
89,1523.0502437320472
90,1534.404912494425
91,1538.9758904648393
92,1525.025477907811
93,1524.918234177881
94,1544.422872927602
95,1523.1125013916653
96,1528.213842744854
97,1513.6894170497233
98,1532.4005319977712
99,1534.0915614971352
